StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.1,Q2.1,Q2.2,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_4,Q2.3_5,Q2.3_6,Q2.3_7,Q2.3_8,Q2.3_9,Q2.3_10,Q2.3_11,Q2.3_12,Q2.3_12_TEXT,Q2.4,Q2.5,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.6_5,Q2.6_6,Q2.6_7,Q2.6_8,Q2.7,Q2.8,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.9_5,Q2.9_6,Q2.9_7,Q2.9_8,Q2.9_9,Q2.9_10,Q2.9_9_TEXT,Q2.10_1,Q2.10_2,Q2.10_3,Q2.10_4,Q2.10_5,Q2.11,Q2.12,Q2.13,Q2.13_5_TEXT,Q2.14_1,Q2.14_2,Q2.14_3,Q2.14_4,Q2.14_5,Q2.14_6,Q2.14_7,Q2.14_8,Q2.14_9,Q2.14_10,Q2.14_11,Q2.15,Q3.1,Q3.2,Q3.2_6_TEXT,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q3.3_8,Q3.3_9,Q3.3_10,Q3.4,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.1_6,Q4.1_7,Q4.1_8,Q4.1_9,Q4.1_10,Q4.1_11,Q4.1_12,Q4.1_13,Q4.1_14,Q4.1_13_TEXT,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q5.1_8,Q5.1_9,Q5.1_10,Q5.1_11,Q5.1_12,Q5.1_13,Q5.2,Q5.3,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.5_1_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Intro,Do you have an ORCID iD?,How long have you had your ORCID iD?,How did you hear about ORCID? - Selected Choice - Information on the University website,How did you hear about ORCID? - Selected Choice - A University event,"How did you hear about ORCID? - Selected Choice - ORCID iDs displayed in article, blog post or other publication",How did you hear about ORCID? - Selected Choice - A publisher required or asked for it,How did you hear about ORCID? - Selected Choice - A funder required or asked for it,How did you hear about ORCID? - Selected Choice - My employer required or asked for it,How did you hear about ORCID? - Selected Choice - My supervisor,How did you hear about ORCID? - Selected Choice - A professional association asked for it,How did you hear about ORCID? - Selected Choice - An advert or post about ORCID in a journal or professional forum,How did you hear about ORCID? - Selected Choice - Recommendation from a colleague or collaborator,How did you hear about ORCID? - Selected Choice - Social media,How did you hear about ORCID? - Selected Choice - I heard about it otherwise:,How did you hear about ORCID? - I heard about it otherwise: - Text,Did you get an ORCID iD because you had to?,What was the reason for having to get an ORCID iD?,What do you think are the most important reasons for having an ORCID iD? - Disambiguation of my name,What do you think are the most important reasons for having an ORCID iD? - Attribution. Linking my ORCID iD to my publications and funding,What do you think are the most important reasons for having an ORCID iD? - Displaying a verified affiliation with my institution,What do you think are the most important reasons for having an ORCID iD? - Displaying a verified affiliation with my funder,What do you think are the most important reasons for having an ORCID iD? - Automatically sharing information between electronic systems,"What do you think are the most important reasons for having an ORCID iD? - Having a personal, permanent record of my academic identity that I own and control",What do you think are the most important reasons for having an ORCID iD? - Linking of all my researcher identifiers in one place,What do you think are the most important reasons for having an ORCID iD? - It saves time with providing basic information or maintaining profiles,Is there something else you find important about ORCID iDs?,Which systems did you intend to share your ORCID iD with?,Which of these topics you would like to get further information about? - Selected Choice - Disambiguation of my name,Which of these topics you would like to get further information about? - Selected Choice - Attribution. Linking my ORCID iD to my publications and funding,Which of these topics you would like to get further information about? - Selected Choice - Displaying a verified affiliation with my institution,Which of these topics you would like to get further information about? - Selected Choice - Displaying a verified affiliation with my funder,Which of these topics you would like to get further information about? - Selected Choice - Automatically sharing information with other systems,"Which of these topics you would like to get further information about? - Selected Choice - Having a personal, permanent record of my academic identity",Which of these topics you would like to get further information about? - Selected Choice - Linking of all my research identifiers in one place,Which of these topics you would like to get further information about? - Selected Choice - Privacy around sharing ORCID iDs,Which of these topics you would like to get further information about? - Selected Choice - Something else:,Which of these topics you would like to get further information about? - Selected Choice - None of the above,Which of these topics you would like to get further information about? - Something else: - Text,"Have you added information in your ORCID record manually? - Yes, all of it","Have you added information in your ORCID record manually? - Yes, some additional biographical information","Have you added information in your ORCID record manually? - Yes, some of my publications or funding","Have you added information in your ORCID record manually? - No, it's all done automatically","Have you added information in your ORCID record manually? - No, I only signed up and haven't added any additional information",Have you added your ORCID iD to your institutional profile?,How did you establish the connection between your profile and your ORCID iD?,Does one of these options describe why your accounts are not connected? - Selected Choice,Does one of these options describe why your accounts are not connected? - Something else: - Text,How have you used your ORCID iD so far? - Entering my ORICD iD  during paper submission,How have you used your ORCID iD so far? - Entering my ORICD iD  during grant applications,How have you used your ORCID iD so far? - Linking my ORCID iD to research data,"How have you used your ORCID iD so far? - Automatically updating my ORCID record by connecting it to other systems, such as Scopus, Crossref or DataCite",How have you used your ORCID iD so far? - Letting my university's local system update my ORCID record,How have you used your ORCID iD so far? - Letting a funder or impact assessment platform collect publication information from my ORCID record,How have you used your ORCID iD so far? - Creating an ORCID iD QR code for a poster,How have you used your ORCID iD so far? - Adding funding information using a search wizard,How have you used your ORCID iD so far? - Authenticate to ORCID using my University ID,How have you used your ORCID iD so far? - Using my ORCID iD to sign-up to a website and populate my record there.,How have you used your ORCID iD so far? - Using my ORCID iD to log in to a website,Have you used your ORCID iD in any other way not mentioned above?,Had you heard about ORCID before this survey?,Which of these reasons describes best why you don't have an ORCID iD? - Selected Choice,Which of these reasons describes best why you don't have an ORCID iD? - A different reason: - Text,Would the following motivate you to get an ORCID iD? - If it was encouraged or required by more publishers or funders,Would the following motivate you to get an ORCID iD? - If it would make workflows within my institution easier for me.,Would the following motivate you to get an ORCID iD? - If I knew it would make it easier for others to find my research outputs,Would the following motivate you to get an ORCID iD? - If I knew more about who ORCID iDs are used by and what for.,Would the following motivate you to get an ORCID iD? - If it was easier to sign up to ORCID and maintain the record.,Would the following motivate you to get an ORCID iD? - If it saved me time through automatic information sharing.,Would the following motivate you to get an ORCID iD? - If I could use it on other online platforms to fill out forms.,Would the following motivate you to get an ORCID iD? - If I could be reassured about privacy concerns,Would the following motivate you to get an ORCID iD? - If it would make it easier for me to maintain a list of my research outputs,Would the following motivate you to get an ORCID iD? - If someone would show me how to use it,Is there anything else that would convince you to sign up for an ORCID iD?,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Associating my ORCID iD  with publications,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Associating my ORCID iD with funding projects,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Linking my ORCID iD to research data,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Using my ORCID iD during submission of publications and grant applications,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Using my ORCID iD during submission of publications and grant applications,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Letting my university's local system update my ORCID record,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Letting a funder or impact assessment platform collect publication information from my ORCID record,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Letting a peer review system update my ORCID record,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Creating an ORCID iD QR code for a poster,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Authentication to ORCID using my University ID,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Using my ORCID iD to sign-up to a website and populate my record there,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Using my ORCID iD to log in to a website,Which of the mentioned use cases would you like to learn more about? - Selected Choice - Something else:,Which of the mentioned use cases would you like to learn more about? - Selected Choice - None of the above,Which of the mentioned use cases would you like to learn more about? - Something else: - Text,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Early career researchers/ research students,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Mid-career researchers,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Senior researchers,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Publishers,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Funders,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Research managers,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Librarians,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Professional associations,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Repositories,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Research institutions,Who do you think does or could benefit from the use of ORCID iDs by researchers? - IT Services,Who do you think does or could benefit from the use of ORCID iDs by researchers? - Services creating metrics,Who do you think does or could benefit from the use of ORCID iDs by researchers? - The research community as a whole,Would you recommend having an ORCID iD to a colleague?,What is your main reason for recommending or not recommending having an ORCID iD?,Which School are you affiliated with?,What is your professional role?,Which other professional position do you hold?,Do you have any suggestions or comments in relation to this survey?,Would you be willing to be contacted for a brief follow-up to this survey? - Selected Choice,"Would you be willing to be contacted for a brief follow-up to this survey? - Yes, here is my email address: - Text"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4"",""choiceId"":""1""}","{""ImportId"":""QID4"",""choiceId"":""2""}","{""ImportId"":""QID4"",""choiceId"":""3""}","{""ImportId"":""QID4"",""choiceId"":""4""}","{""ImportId"":""QID4"",""choiceId"":""5""}","{""ImportId"":""QID4"",""choiceId"":""6""}","{""ImportId"":""QID4"",""choiceId"":""7""}","{""ImportId"":""QID4"",""choiceId"":""8""}","{""ImportId"":""QID4"",""choiceId"":""9""}","{""ImportId"":""QID4"",""choiceId"":""10""}","{""ImportId"":""QID4"",""choiceId"":""11""}","{""ImportId"":""QID4"",""choiceId"":""12""}","{""ImportId"":""QID4_12_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11"",""choiceId"":""1""}","{""ImportId"":""QID11"",""choiceId"":""2""}","{""ImportId"":""QID11"",""choiceId"":""3""}","{""ImportId"":""QID11"",""choiceId"":""4""}","{""ImportId"":""QID11"",""choiceId"":""5""}","{""ImportId"":""QID11"",""choiceId"":""6""}","{""ImportId"":""QID11"",""choiceId"":""7""}","{""ImportId"":""QID11"",""choiceId"":""8""}","{""ImportId"":""QID11"",""choiceId"":""9""}","{""ImportId"":""QID11"",""choiceId"":""10""}","{""ImportId"":""QID11_9_TEXT""}","{""ImportId"":""QID12"",""choiceId"":""1""}","{""ImportId"":""QID12"",""choiceId"":""2""}","{""ImportId"":""QID12"",""choiceId"":""3""}","{""ImportId"":""QID12"",""choiceId"":""4""}","{""ImportId"":""QID12"",""choiceId"":""5""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_5_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_11""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_6_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID20_8""}","{""ImportId"":""QID20_9""}","{""ImportId"":""QID20_10""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22"",""choiceId"":""1""}","{""ImportId"":""QID22"",""choiceId"":""2""}","{""ImportId"":""QID22"",""choiceId"":""3""}","{""ImportId"":""QID22"",""choiceId"":""4""}","{""ImportId"":""QID22"",""choiceId"":""5""}","{""ImportId"":""QID22"",""choiceId"":""6""}","{""ImportId"":""QID22"",""choiceId"":""7""}","{""ImportId"":""QID22"",""choiceId"":""8""}","{""ImportId"":""QID22"",""choiceId"":""9""}","{""ImportId"":""QID22"",""choiceId"":""10""}","{""ImportId"":""QID22"",""choiceId"":""11""}","{""ImportId"":""QID22"",""choiceId"":""12""}","{""ImportId"":""QID22"",""choiceId"":""13""}","{""ImportId"":""QID22"",""choiceId"":""14""}","{""ImportId"":""QID22_13_TEXT""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_7""}","{""ImportId"":""QID23_8""}","{""ImportId"":""QID23_9""}","{""ImportId"":""QID23_10""}","{""ImportId"":""QID23_11""}","{""ImportId"":""QID23_12""}","{""ImportId"":""QID23_13""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_1_TEXT""}"
14/06/2018 10:46,14/06/2018 10:56,IPaddress,100,576,TRUE,14/06/2018 10:56,R_3pg807Ml9qnFv16,anonymous,EN,I agree to these terms,Yes,1 -3 years,,,,,,,,,An advert or post about ORCID in a journal or professional forum,,,,,No,,Must have,Must have,Important,Important,Must have,Must have,Important,Important,,,,,,Displaying a verified affiliation with my funder,,,,Privacy around sharing ORCID iDs,,,,,"Yes, some additional biographical information",,,,Yes,I connected my existing ORCID iD by clicking on a button in the institutional system.,,,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I have used it,I had not heard about this,I had not heard about this,I had not heard about this,I had not heard about this,,,,,,,,,,,,,,,,,,,,,,,,,Authentication to ORCID using my University ID,Using my ORCID iD to sign-up to a website and populate my record there,Using my ORCID iD to log in to a website,,,,,,,,,,,,,,,,,Yes,,Click to write Choice 1,Neither professional nor unprofessional,,,,
08/06/2018 12:09,08/06/2018 13:21,IPaddress,97,4364,FALSE,15/06/2018 13:22,R_3MoolQbeda6GhS0,anonymous,EN,I agree to these terms,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, here is my email address:",
19/06/2018 20:04,19/06/2018 20:07,IPaddress,100,179,TRUE,19/06/2018 20:07,R_1FhNSlfCjxVrOdr,anonymous,EN,I agree to these terms,Yes,1 -3 years,,,,,,,,,,Recommendation from a colleague or collaborator,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2018 08:01,20/06/2018 10:48,IPaddress,100,10038,TRUE,20/06/2018 10:48,R_9TF4zkki1k5L5zX,anonymous,EN,I agree to these terms,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2018 14:20,14/06/2018 14:25,IPaddress,97,276,FALSE,21/06/2018 14:25,R_RgAA20btCWq5Qul,anonymous,EN,I agree to these terms,Yes,more than 3 years,,,,,,,,,,,,I heard about it otherwise:,Library,No,,Must have,Must have,Important,Important,Important,Must have,Must have,Important,,,,Attribution. Linking my ORCID iD to my publications and funding,,,Automatically sharing information with other systems,,Linking of all my research identifiers in one place,,,,,,,"Yes, some of my publications or funding",,,No,,I did not see a reason to connect the accounts.,,I  haven't used it,I  haven't used it,I  haven't used it,I have used it,I had not heard about this,I  haven't used it,I  haven't used it,I had not heard about this,I  haven't used it,I  haven't used it,I  haven't used it,,,,,,,,,,,,,,,,,Associating my ORCID iD with funding projects,Linking my ORCID iD to research data,Using my ORCID iD during submission of publications and grant applications,,Letting my university's local system update my ORCID record,Letting a funder or impact assessment platform collect publication information from my ORCID record,Letting a peer review system update my ORCID record,Creating an ORCID iD QR code for a poster,,,,,,,,,,,,,,,,,,,,Yes,,Click to write Choice 1,Moderately unprofessional,,"Seems good, rock it out","Yes, here is my email address:",jason.harper@plymouth.ac.uk
20/06/2018 10:49,20/06/2018 12:26,IPaddress,80,5819,FALSE,27/06/2018 12:26,R_2P6g5wqF1NCpoyB,anonymous,EN,I agree to these terms,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 11:39,11/07/2018 12:59,IPaddress,100,4839,TRUE,11/07/2018 12:59,R_b322pXfrTgrwqFr,anonymous,EN,I agree to these terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2018 09:32,12/07/2018 09:35,IPaddress,100,188,TRUE,12/07/2018 09:35,R_1q8TF6C02S17RjR,anonymous,EN,I agree to these terms,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,,,,,,,,,,,Click to write Choice 1,Extremely professional,,,No,
